district,region,date,mean_rainfall
Abim,Northern,1981-01-01,7.921171768851902
Adjumani,Northern,1981-01-01,6.550825968827351
Agago,Northern,1981-01-01,5.667292502074115
Alebtong,Northern,1981-01-01,15.64298170440051
Amolatar,Northern,1981-01-01,16.605841500418528
Amudat,Northern,1981-01-01,6.344016021152712
Amuria,Eastern,1981-01-01,19.93864109205163
Amuru,Northern,1981-01-01,6.4103271484375
Apac,Northern,1981-01-01,14.627743478548728
Arua,Northern,1981-01-01,10.73416385135135
Budaka,Eastern,1981-01-01,20.801544189453125
Bududa,Eastern,1981-01-01,17.79026933149858
Bugiri,Eastern,1981-01-01,25.73339201274671
Bugweri,Eastern,1981-01-01,22.188030536358173
Buhweju,Western,1981-01-01,33.73501864346591
Buikwe,Central,1981-01-01,41.78731028238932
Bukedea,Eastern,1981-01-01,17.6640905431799
Bukomansimbi,Central,1981-01-01,34.193269428453945
Bukwo,Eastern,1981-01-01,11.341738746279763
Bulambuli,Eastern,1981-01-01,16.309215198863637
Buliisa,Western,1981-01-01,-135.5625
Bundibugyo,Western,1981-01-01,28.040311686197917
Bunyangabu,Western,1981-01-01,27.389774576822916
Bushenyi,Western,1981-01-01,42.174303327287944
Busia,Eastern,1981-01-01,29.73973846435547
Butaleja,Eastern,1981-01-01,21.71538848876953
Butambala,Central,1981-01-01,49.93885803222656
Butebo,Eastern,1981-01-01,18.89765082465278
Buvuma,Central,1981-01-01,32.907193346088434
Buyende,Eastern,1981-01-01,20.263045772429436
Dokolo,Northern,1981-01-01,18.042787339952255
Gomba,Central,1981-01-01,41.80857195172991
Gulu,Northern,1981-01-01,5.402459506330819
Hoima,Western,1981-01-01,-424.068123282967
Ibanda,Western,1981-01-01,25.45533842198989
Iganga,Eastern,1981-01-01,21.556338355654763
Isingiro,Western,1981-01-01,38.25186695772059
Jinja,Eastern,1981-01-01,28.28131357828776
Kaabong,Northern,1981-01-01,3.836368336397059
Kabale,Western,1981-01-01,58.96915475945724
Kabarole,Western,1981-01-01,21.842358966206394
Kaberamaido,Eastern,1981-01-01,21.39710945918642
Kagadi,Western,1981-01-01,18.3194189453125
Kakumiro,Western,1981-01-01,23.048849540844298
Kalaki,Eastern,1981-01-01,21.4569091796875
Kalangala,Central,1981-01-01,47.55158113178454
Kaliro,Eastern,1981-01-01,22.72443331204928
Kalungu,Central,1981-01-01,37.94629141000601
Kampala,Central,1981-01-01,52.82723127092634
Kamuli,Eastern,1981-01-01,23.221669921875
Kamwenge,Western,1981-01-01,19.82336199725116
Kanungu,Western,1981-01-01,51.64599609375
Kapchorwa,Eastern,1981-01-01,17.159378051757812
Kapelebyong,Eastern,1981-01-01,16.88426513671875
Karenga,Northern,1981-01-01,5.05178682303723
Kasese,Western,1981-01-01,21.0318359375
Kassanda,Central,1981-01-01,33.08897705078125
Katakwi,Eastern,1981-01-01,18.0774486644848
Kayunga,Central,1981-01-01,28.161124093191965
Kazo,Western,1981-01-01,24.97606150309245
Kibaale,Western,1981-01-01,24.06090648754223
Kiboga,Central,1981-01-01,29.359877642463236
Kibuku,Eastern,1981-01-01,18.76823527018229
Kikuube,Western,1981-01-01,16.99972209524601
Kiruhura,Western,1981-01-01,33.035181162308675
Kiryandongo,Western,1981-01-01,15.135904264049369
Kisoro,Western,1981-01-01,81.46794128417969
Kitagwenda,Western,1981-01-01,21.569205906080164
Kitgum,Northern,1981-01-01,5.082066322440531
Koboko,Northern,1981-01-01,11.068094889322916
Kole,Northern,1981-01-01,12.424163818359375
Kotido,Northern,1981-01-01,4.492810265492585
Kumi,Eastern,1981-01-01,18.421651785714285
Kwania,Northern,1981-01-01,15.69440693757972
Kween,Eastern,1981-01-01,10.29886835271662
Kyankwanzi,Central,1981-01-01,20.978005711036392
Kyegegwa,Western,1981-01-01,25.454564144736842
Kyenjojo,Western,1981-01-01,20.51521757051542
Kyotera,Central,1981-01-01,43.438986206054686
Lamwo,Northern,1981-01-01,4.930430266816737
Lira,Northern,1981-01-01,13.962528483072917
Luuka,Eastern,1981-01-01,21.91810760498047
Luwero,Central,1981-01-01,36.348448057432435
Lwengo,Central,1981-01-01,36.13622687844669
Lyantonde,Central,1981-01-01,34.37172725282866
Madi Okollo,Northern,1981-01-01,7.969179979011194
Manafwa,Eastern,1981-01-01,22.313975742885045
Maracha,Northern,1981-01-01,13.69175313313802
Masaka,Central,1981-01-01,38.914540465448944
Masindi,Western,1981-01-01,18.926614900914632
Mayuge,Eastern,1981-01-01,25.995514726216815
Mbale,Eastern,1981-01-01,22.686817169189453
Mbarara,Western,1981-01-01,31.00977783203125
Mitooma,Western,1981-01-01,48.657951803768384
