District,Region,Date,Dewpoint_Temperature
Abim,Northern,1981-01-31,281.07266
Abim,Northern,1981-02-28,281.73206
Abim,Northern,1981-03-31,288.19592
Abim,Northern,1981-04-30,291.58658
Abim,Northern,1981-05-31,291.4807
Abim,Northern,1981-06-30,290.67154
Abim,Northern,1981-07-31,290.79462
Abim,Northern,1981-08-31,290.8063
Abim,Northern,1981-09-30,290.8408
Abim,Northern,1981-10-31,288.63962
Abim,Northern,1981-11-30,287.16977
Abim,Northern,1981-12-31,283.67035
Abim,Northern,1982-01-31,283.83057
Abim,Northern,1982-02-28,284.1284
Abim,Northern,1982-03-31,284.18808
Abim,Northern,1982-04-30,290.46927
Abim,Northern,1982-05-31,291.87228
Abim,Northern,1982-06-30,291.20663
Abim,Northern,1982-07-31,290.49463
Abim,Northern,1982-08-31,290.1967
Abim,Northern,1982-09-30,288.96164
Abim,Northern,1982-10-31,289.93628
Abim,Northern,1982-11-30,290.19522
Abim,Northern,1982-12-31,287.40323
Abim,Northern,1983-01-31,285.072
Abim,Northern,1983-02-28,285.73526
Abim,Northern,1983-03-31,287.1252
Abim,Northern,1983-04-30,290.80457
Abim,Northern,1983-05-31,292.26224
Abim,Northern,1983-06-30,291.28445
Abim,Northern,1983-07-31,290.60483
Abim,Northern,1983-08-31,291.31778
Abim,Northern,1983-09-30,290.68076
Abim,Northern,1983-10-31,290.7952
Abim,Northern,1983-11-30,288.13858
Abim,Northern,1983-12-31,284.51724
Abim,Northern,1984-01-31,282.3624
Abim,Northern,1984-02-29,281.95132
Abim,Northern,1984-03-31,285.04443
Abim,Northern,1984-04-30,290.71664
Abim,Northern,1984-05-31,290.81082
Abim,Northern,1984-06-30,290.16382
Abim,Northern,1984-07-31,290.07806
Abim,Northern,1984-08-31,289.58047
Abim,Northern,1984-09-30,288.1246
Abim,Northern,1984-10-31,287.14957
Abim,Northern,1984-11-30,287.93646
Abim,Northern,1984-12-31,285.83987
Abim,Northern,1985-01-31,282.824
Abim,Northern,1985-02-28,284.03842
Abim,Northern,1985-03-31,286.11975
Abim,Northern,1985-04-30,291.47488
Abim,Northern,1985-05-31,291.6766
Abim,Northern,1985-06-30,290.8584
Abim,Northern,1985-07-31,290.28372
Abim,Northern,1985-08-31,290.033
Abim,Northern,1985-09-30,289.75735
Abim,Northern,1985-10-31,287.2301
Abim,Northern,1985-11-30,287.62094
Abim,Northern,1985-12-31,283.83835
Abim,Northern,1986-01-31,282.49606
Abim,Northern,1986-02-28,285.85107
Abim,Northern,1986-03-31,287.5963
Abim,Northern,1986-04-30,290.77823
Abim,Northern,1986-05-31,291.99118
Abim,Northern,1986-06-30,291.2139
Abim,Northern,1986-07-31,290.40237
Abim,Northern,1986-08-31,289.05795
Abim,Northern,1986-09-30,289.12668
Abim,Northern,1986-10-31,287.7725
Abim,Northern,1986-11-30,287.40067
Abim,Northern,1986-12-31,285.55942
Abim,Northern,1987-01-31,282.7795
Abim,Northern,1987-02-28,284.1863
Abim,Northern,1987-03-31,289.36337
Abim,Northern,1987-04-30,289.88782
Abim,Northern,1987-05-31,292.2134
Abim,Northern,1987-06-30,290.9039
Abim,Northern,1987-07-31,289.12894
Abim,Northern,1987-08-31,289.77853
Abim,Northern,1987-09-30,288.69626
Abim,Northern,1987-10-31,288.1237
Abim,Northern,1987-11-30,288.81165
Abim,Northern,1987-12-31,284.37222
Abim,Northern,1988-01-31,286.29916
Abim,Northern,1988-02-29,284.82446
Abim,Northern,1988-03-31,289.0817
Abim,Northern,1988-04-30,291.10483
Abim,Northern,1988-05-31,291.75034
Abim,Northern,1988-06-30,290.6609
Abim,Northern,1988-07-31,290.96524
Abim,Northern,1988-08-31,290.9643
Abim,Northern,1988-09-30,290.63538
Abim,Northern,1988-10-31,289.4543
Abim,Northern,1988-11-30,286.65353
Abim,Northern,1988-12-31,283.57236
Abim,Northern,1989-01-31,280.89542
Abim,Northern,1989-02-28,282.53757
Abim,Northern,1989-03-31,287.34225
Abim,Northern,1989-04-30,289.7761
Abim,Northern,1989-05-31,291.29538
Abim,Northern,1989-06-30,290.45276
Abim,Northern,1989-07-31,290.4732
Abim,Northern,1989-08-31,289.5321
Abim,Northern,1989-09-30,289.31934
Abim,Northern,1989-10-31,289.0159
Abim,Northern,1989-11-30,287.81192
Abim,Northern,1989-12-31,287.50943
Abim,Northern,1990-01-31,284.78357
Abim,Northern,1990-02-28,288.89896
Abim,Northern,1990-03-31,289.68127
Abim,Northern,1990-04-30,291.87238
Abim,Northern,1990-05-31,291.28003
Abim,Northern,1990-06-30,290.09842
Abim,Northern,1990-07-31,290.2617
Abim,Northern,1990-08-31,290.35745
Abim,Northern,1990-09-30,288.99545
Abim,Northern,1990-10-31,287.91898
Abim,Northern,1990-11-30,286.94858
Abim,Northern,1990-12-31,284.9765
Abim,Northern,1991-01-31,285.3317
Abim,Northern,1991-02-28,286.13077
Abim,Northern,1991-03-31,286.2882
Abim,Northern,1991-04-30,290.95386
Abim,Northern,1991-05-31,292.3669
Abim,Northern,1991-06-30,291.80185
Abim,Northern,1991-07-31,290.9371
Abim,Northern,1991-08-31,291.15356
Abim,Northern,1991-09-30,289.03796
Abim,Northern,1991-10-31,289.33612
Abim,Northern,1991-11-30,287.58765
