District,Region,Date,Precipitation_mm
Abim,Northern,1980-12-31,0.0
Abim,Northern,1981-01-31,2.858673e-06
Abim,Northern,1981-02-28,2.0215435e-05
Abim,Northern,1981-03-31,0.0002831789
Abim,Northern,1981-04-30,0.0002078297
Abim,Northern,1981-05-31,0.00020152832
Abim,Northern,1981-06-30,0.00015421907
Abim,Northern,1981-07-31,0.00030854484
Abim,Northern,1981-08-31,0.00024888647
Abim,Northern,1981-09-30,0.00016319586
Abim,Northern,1981-10-31,3.6467467e-05
Abim,Northern,1981-11-30,5.484621e-05
Abim,Northern,1981-12-31,5.1315537e-06
Abim,Northern,1982-01-31,1.2021659e-05
Abim,Northern,1982-02-28,3.1639425e-05
Abim,Northern,1982-03-31,4.4818422e-05
Abim,Northern,1982-04-30,0.00023632833
Abim,Northern,1982-05-31,0.00035386177
Abim,Northern,1982-06-30,0.00020132253
Abim,Northern,1982-07-31,0.00013415393
Abim,Northern,1982-08-31,0.00021136629
Abim,Northern,1982-09-30,8.293854e-05
Abim,Northern,1982-10-31,0.00016056337
Abim,Northern,1982-11-30,0.00019584088
Abim,Northern,1982-12-31,3.8040474e-05
Abim,Northern,1983-01-31,1.6249744e-05
Abim,Northern,1983-02-28,2.711349e-05
Abim,Northern,1983-03-31,3.0312272e-05
Abim,Northern,1983-04-30,0.00017238116
Abim,Northern,1983-05-31,0.00022484678
Abim,Northern,1983-06-30,0.00026970892
Abim,Northern,1983-07-31,0.00024167987
Abim,Northern,1983-08-31,0.00040662248
Abim,Northern,1983-09-30,0.00022936033
Abim,Northern,1983-10-31,0.00022660341
Abim,Northern,1983-11-30,6.428714e-05
Abim,Northern,1983-12-31,4.3778437e-06
Abim,Northern,1984-01-31,8.49003e-06
Abim,Northern,1984-02-29,1.4131552e-05
Abim,Northern,1984-03-31,5.2300296e-05
Abim,Northern,1984-04-30,0.00021214099
Abim,Northern,1984-05-31,0.00019701054
Abim,Northern,1984-06-30,0.00023754769
Abim,Northern,1984-07-31,0.00029018597
Abim,Northern,1984-08-31,0.00010302535
Abim,Northern,1984-09-30,0.00011083572
Abim,Northern,1984-10-31,4.7948306e-05
