District,Region,Date,Temperature
Abim,Northern,1981-01-31,299.34546
Abim,Northern,1981-02-28,299.74573
Abim,Northern,1981-03-31,298.02512
Abim,Northern,1981-04-30,296.25357
Abim,Northern,1981-05-31,295.82858
Abim,Northern,1981-06-30,295.62027
Abim,Northern,1981-07-31,294.49826
Abim,Northern,1981-08-31,294.87808
Abim,Northern,1981-09-30,295.2233
Abim,Northern,1981-10-31,297.22644
Abim,Northern,1981-11-30,297.74844
Abim,Northern,1981-12-31,298.84756
Abim,Northern,1982-01-31,299.28354
Abim,Northern,1982-02-28,299.2584
Abim,Northern,1982-03-31,300.03464
Abim,Northern,1982-04-30,297.01587
Abim,Northern,1982-05-31,295.61685
Abim,Northern,1982-06-30,295.09573
Abim,Northern,1982-07-31,294.69424
Abim,Northern,1982-08-31,294.7545
Abim,Northern,1982-09-30,296.092
Abim,Northern,1982-10-31,295.78818
Abim,Northern,1982-11-30,295.65018
Abim,Northern,1982-12-31,296.44147
Abim,Northern,1983-01-31,297.93396
Abim,Northern,1983-02-28,299.50998
Abim,Northern,1983-03-31,300.4063
Abim,Northern,1983-04-30,297.88553
Abim,Northern,1983-05-31,296.45236
Abim,Northern,1983-06-30,295.76532
Abim,Northern,1983-07-31,295.2234
Abim,Northern,1983-08-31,294.80762
Abim,Northern,1983-09-30,295.06998
Abim,Northern,1983-10-31,295.64365
Abim,Northern,1983-11-30,296.70795
Abim,Northern,1983-12-31,297.43454
Abim,Northern,1984-01-31,297.7665
Abim,Northern,1984-02-29,298.76572
Abim,Northern,1984-03-31,299.45255
Abim,Northern,1984-04-30,297.05887
Abim,Northern,1984-05-31,296.60092
Abim,Northern,1984-06-30,295.30435
Abim,Northern,1984-07-31,294.52914
Abim,Northern,1984-08-31,295.44077
Abim,Northern,1984-09-30,296.2775
Abim,Northern,1984-10-31,297.75162
Abim,Northern,1984-11-30,296.94296
Abim,Northern,1984-12-31,296.9953
Abim,Northern,1985-01-31,298.88278
Abim,Northern,1985-02-28,298.05453
Abim,Northern,1985-03-31,298.79996
Abim,Northern,1985-04-30,295.53134
Abim,Northern,1985-05-31,295.14294
Abim,Northern,1985-06-30,294.84756
Abim,Northern,1985-07-31,293.72757
Abim,Northern,1985-08-31,294.21503
Abim,Northern,1985-09-30,295.3575
Abim,Northern,1985-10-31,297.50278
Abim,Northern,1985-11-30,296.87924
Abim,Northern,1985-12-31,298.60226
Abim,Northern,1986-01-31,299.20724
Abim,Northern,1986-02-28,298.66714
Abim,Northern,1986-03-31,297.88065
Abim,Northern,1986-04-30,296.59506
Abim,Northern,1986-05-31,295.61124
Abim,Northern,1986-06-30,294.68112
Abim,Northern,1986-07-31,294.41284
Abim,Northern,1986-08-31,295.45963
Abim,Northern,1986-09-30,295.79214
Abim,Northern,1986-10-31,297.6168
Abim,Northern,1986-11-30,297.48154
Abim,Northern,1986-12-31,298.5258
Abim,Northern,1987-01-31,299.70538
Abim,Northern,1987-02-28,299.28146
Abim,Northern,1987-03-31,298.60013
Abim,Northern,1987-04-30,297.91733
Abim,Northern,1987-05-31,296.09143
Abim,Northern,1987-06-30,295.5691
Abim,Northern,1987-07-31,296.34885
