District,Region,Date,Total_Cloud_Cover
Abim,Northern,1981-01-31,0.3506596
Abim,Northern,1981-02-28,0.45823947
Abim,Northern,1981-03-31,0.8524981
Abim,Northern,1981-04-30,0.8206652
Abim,Northern,1981-05-31,0.69524914
Abim,Northern,1981-06-30,0.51856047
Abim,Northern,1981-07-31,0.64173526
Abim,Northern,1981-08-31,0.62433076
Abim,Northern,1981-09-30,0.58740824
Abim,Northern,1981-10-31,0.572628
Abim,Northern,1981-11-30,0.4861815
Abim,Northern,1981-12-31,0.44934103
Abim,Northern,1982-01-31,0.5462305
Abim,Northern,1982-02-28,0.55439585
Abim,Northern,1982-03-31,0.5259481
Abim,Northern,1982-04-30,0.8731506
Abim,Northern,1982-05-31,0.7758847
Abim,Northern,1982-06-30,0.52203435
Abim,Northern,1982-07-31,0.53986835
Abim,Northern,1982-08-31,0.65548736
Abim,Northern,1982-09-30,0.52971554
Abim,Northern,1982-10-31,0.65249294
Abim,Northern,1982-11-30,0.6945173
Abim,Northern,1982-12-31,0.43560597
Abim,Northern,1983-01-31,0.46107197
Abim,Northern,1983-02-28,0.58367866
Abim,Northern,1983-03-31,0.5913382
Abim,Northern,1983-04-30,0.6905835
Abim,Northern,1983-05-31,0.73671573
Abim,Northern,1983-06-30,0.5624041
Abim,Northern,1983-07-31,0.47930118
Abim,Northern,1983-08-31,0.6883445
Abim,Northern,1983-09-30,0.5768638
Abim,Northern,1983-10-31,0.73241067
Abim,Northern,1983-11-30,0.6218965
Abim,Northern,1983-12-31,0.5328503
Abim,Northern,1984-01-31,0.50354016
Abim,Northern,1984-02-29,0.28683996
Abim,Northern,1984-03-31,0.59866834
Abim,Northern,1984-04-30,0.6750911
Abim,Northern,1984-05-31,0.5565043
Abim,Northern,1984-06-30,0.6241779
Abim,Northern,1984-07-31,0.5922686
Abim,Northern,1984-08-31,0.5254311
Abim,Northern,1984-09-30,0.6671812
Abim,Northern,1984-10-31,0.60451096
Abim,Northern,1984-11-30,0.6674804
Abim,Northern,1984-12-31,0.49381933
Abim,Northern,1985-01-31,0.46802768
Abim,Northern,1985-02-28,0.66158897
Abim,Northern,1985-03-31,0.6461889
Abim,Northern,1985-04-30,0.8538823
Abim,Northern,1985-05-31,0.7158808
Abim,Northern,1985-06-30,0.5907338
Abim,Northern,1985-07-31,0.66527075
Abim,Northern,1985-08-31,0.55442
Abim,Northern,1985-09-30,0.5195243
Abim,Northern,1985-10-31,0.6616958
Abim,Northern,1985-11-30,0.6422329
Abim,Northern,1985-12-31,0.5146301
Abim,Northern,1986-01-31,0.45615217
Abim,Northern,1986-02-28,0.5346841
Abim,Northern,1986-03-31,0.65432066
Abim,Northern,1986-04-30,0.85885006
Abim,Northern,1986-05-31,0.6958871
Abim,Northern,1986-06-30,0.7892635
Abim,Northern,1986-07-31,0.6133892
Abim,Northern,1986-08-31,0.5208122
Abim,Northern,1986-09-30,0.5845299
Abim,Northern,1986-10-31,0.65501744
Abim,Northern,1986-11-30,0.6654968
Abim,Northern,1986-12-31,0.49542317
Abim,Northern,1987-01-31,0.4479461
Abim,Northern,1987-02-28,0.5997602
Abim,Northern,1987-03-31,0.7078385
Abim,Northern,1987-04-30,0.6977787
Abim,Northern,1987-05-31,0.8118643
Abim,Northern,1987-06-30,0.59568024
Abim,Northern,1987-07-31,0.50469923
Abim,Northern,1987-08-31,0.57836735
Abim,Northern,1987-09-30,0.5582204
Abim,Northern,1987-10-31,0.58409667
Abim,Northern,1987-11-30,0.54658574
Abim,Northern,1987-12-31,0.33182058
Abim,Northern,1988-01-31,0.5649845
Abim,Northern,1988-02-29,0.5830237
Abim,Northern,1988-03-31,0.63332635
Abim,Northern,1988-04-30,0.8208353
Abim,Northern,1988-05-31,0.5760054
Abim,Northern,1988-06-30,0.51074666
Abim,Northern,1988-07-31,0.7054615
Abim,Northern,1988-08-31,0.62085515
Abim,Northern,1988-09-30,0.67385525
Abim,Northern,1988-10-31,0.68556374
Abim,Northern,1988-11-30,0.61344963
Abim,Northern,1988-12-31,0.47895804
Abim,Northern,1989-01-31,0.54003096
Abim,Northern,1989-02-28,0.53845716
Abim,Northern,1989-03-31,0.7539088
Abim,Northern,1989-04-30,0.6179833
Abim,Northern,1989-05-31,0.7335579
Abim,Northern,1989-06-30,0.55876666
Abim,Northern,1989-07-31,0.64599174
Abim,Northern,1989-08-31,0.4891241
Abim,Northern,1989-09-30,0.49936318
Abim,Northern,1989-10-31,0.6009082
Abim,Northern,1989-11-30,0.67594457
Abim,Northern,1989-12-31,0.7130115
Abim,Northern,1990-01-31,0.3703866
Abim,Northern,1990-02-28,0.86555934
Abim,Northern,1990-03-31,0.7899313
Abim,Northern,1990-04-30,0.8468054
Abim,Northern,1990-05-31,0.6837778
Abim,Northern,1990-06-30,0.47394967
Abim,Northern,1990-07-31,0.6071531
Abim,Northern,1990-08-31,0.610986
Abim,Northern,1990-09-30,0.50248617
Abim,Northern,1990-10-31,0.66103077
Abim,Northern,1990-11-30,0.5361199
Abim,Northern,1990-12-31,0.55938107
Abim,Northern,1991-01-31,0.5351607
Abim,Northern,1991-02-28,0.3966771
Abim,Northern,1991-03-31,0.59881777
Abim,Northern,1991-04-30,0.71162134
Abim,Northern,1991-05-31,0.7861516
Abim,Northern,1991-06-30,0.64471036
Abim,Northern,1991-07-31,0.62649775
Abim,Northern,1991-08-31,0.570005
Abim,Northern,1991-09-30,0.49974093
Abim,Northern,1991-10-31,0.6017789
Abim,Northern,1991-11-30,0.57530504
