District,Region,Date,Wind_U_Component
Abim,Northern,1981-01-31,-2.4465904
Abim,Northern,1981-02-28,-2.5209417
Abim,Northern,1981-03-31,-1.4974065
Abim,Northern,1981-04-30,-1.0201244
Abim,Northern,1981-05-31,-0.42970875
Abim,Northern,1981-06-30,-0.31304833
Abim,Northern,1981-07-31,-0.43052712
Abim,Northern,1981-08-31,-0.5534439
Abim,Northern,1981-09-30,-0.3656119
Abim,Northern,1981-10-31,-1.253234
Abim,Northern,1981-11-30,-1.7827272
Abim,Northern,1981-12-31,-2.6740963
Abim,Northern,1982-01-31,-2.040751
Abim,Northern,1982-02-28,-1.8499837
Abim,Northern,1982-03-31,-1.9735142
Abim,Northern,1982-04-30,-1.2684954
Abim,Northern,1982-05-31,-0.56637794
Abim,Northern,1982-06-30,-0.3108706
Abim,Northern,1982-07-31,-0.5222716
Abim,Northern,1982-08-31,-0.7366242
Abim,Northern,1982-09-30,-0.7392847
Abim,Northern,1982-10-31,-0.9182167
Abim,Northern,1982-11-30,-1.0382867
Abim,Northern,1982-12-31,-2.2913067
Abim,Northern,1983-01-31,-1.8750511
Abim,Northern,1983-02-28,-2.2443714
Abim,Northern,1983-03-31,-1.5992428
Abim,Northern,1983-04-30,-0.89813405
Abim,Northern,1983-05-31,-0.42272398
Abim,Northern,1983-06-30,-0.24157323
Abim,Northern,1983-07-31,-0.5858733
Abim,Northern,1983-08-31,-0.17044424
Abim,Northern,1983-09-30,-0.6440318
Abim,Northern,1983-10-31,-0.6039847
Abim,Northern,1983-11-30,-1.616614
Abim,Northern,1983-12-31,-1.5158873
Abim,Northern,1984-01-31,-1.0197853
Abim,Northern,1984-02-29,-1.8549247
Abim,Northern,1984-03-31,-2.2922938
Abim,Northern,1984-04-30,-0.37840435
Abim,Northern,1984-05-31,-0.15953483
Abim,Northern,1984-06-30,-0.3848305
Abim,Northern,1984-07-31,-0.37264308
Abim,Northern,1984-08-31,-0.37991178
Abim,Northern,1984-09-30,-0.9759698
Abim,Northern,1984-10-31,-2.256102
Abim,Northern,1984-11-30,-2.0252976
Abim,Northern,1984-12-31,-2.3634808
Abim,Northern,1985-01-31,-3.1216002
Abim,Northern,1985-02-28,-0.09889167
Abim,Northern,1985-03-31,-2.2504148
Abim,Northern,1985-04-30,-0.43489757
Abim,Northern,1985-05-31,-0.43694532
Abim,Northern,1985-06-30,-0.17907442
Abim,Northern,1985-07-31,-0.36371648
Abim,Northern,1985-08-31,-0.5847256
Abim,Northern,1985-09-30,-0.31328937
Abim,Northern,1985-10-31,-1.8495154
Abim,Northern,1985-11-30,-2.1360435
Abim,Northern,1985-12-31,-2.5355995
Abim,Northern,1986-01-31,-1.5702553
Abim,Northern,1986-02-28,-1.3507208
Abim,Northern,1986-03-31,-1.6041743
Abim,Northern,1986-04-30,-0.77136165
Abim,Northern,1986-05-31,-0.33900383
Abim,Northern,1986-06-30,-0.1694734
Abim,Northern,1986-07-31,-0.4293959
Abim,Northern,1986-08-31,-1.0928334
Abim,Northern,1986-09-30,-0.66671664
Abim,Northern,1986-10-31,-1.4204515
Abim,Northern,1986-11-30,-2.1236417
Abim,Northern,1986-12-31,-2.139488
Abim,Northern,1987-01-31,-2.036619
Abim,Northern,1987-02-28,-1.5913156
Abim,Northern,1987-03-31,-0.9484539
Abim,Northern,1987-04-30,-1.2034187
Abim,Northern,1987-05-31,-0.3484172
Abim,Northern,1987-06-30,-0.21761382
Abim,Northern,1987-07-31,-0.82241625
Abim,Northern,1987-08-31,-0.48589197
Abim,Northern,1987-09-30,-0.27159062
Abim,Northern,1987-10-31,-0.771498
Abim,Northern,1987-11-30,-1.393979
Abim,Northern,1987-12-31,-2.4190407
Abim,Northern,1988-01-31,-1.6492189
Abim,Northern,1988-02-29,-2.429604
Abim,Northern,1988-03-31,-0.44558617
Abim,Northern,1988-04-30,-0.6986416
Abim,Northern,1988-05-31,-0.43423977
