District,Region,Date,Wind_V_Component
Abim,Northern,1981-01-31,-0.4699057
Abim,Northern,1981-02-28,-0.5061715
Abim,Northern,1981-03-31,-0.028230801
Abim,Northern,1981-04-30,0.326704
Abim,Northern,1981-05-31,0.5823597
Abim,Northern,1981-06-30,0.22581537
Abim,Northern,1981-07-31,-0.18063879
Abim,Northern,1981-08-31,-0.19615096
Abim,Northern,1981-09-30,-0.19000173
Abim,Northern,1981-10-31,0.025480455
Abim,Northern,1981-11-30,-0.5407698
Abim,Northern,1981-12-31,-0.5003488
Abim,Northern,1982-01-31,-0.21745169
Abim,Northern,1982-02-28,-0.550146
Abim,Northern,1982-03-31,-0.099213265
Abim,Northern,1982-04-30,0.21670687
Abim,Northern,1982-05-31,0.33788645
Abim,Northern,1982-06-30,0.30348843
Abim,Northern,1982-07-31,0.10258964
Abim,Northern,1982-08-31,-0.14937429
Abim,Northern,1982-09-30,0.03997599
Abim,Northern,1982-10-31,0.020693896
Abim,Northern,1982-11-30,-0.33890176
Abim,Northern,1982-12-31,-0.7612234
Abim,Northern,1983-01-31,-0.7918989
Abim,Northern,1983-02-28,-0.5497678
Abim,Northern,1983-03-31,0.20325543
Abim,Northern,1983-04-30,0.4210095
Abim,Northern,1983-05-31,0.605561
Abim,Northern,1983-06-30,0.29560035
Abim,Northern,1983-07-31,-0.1220029
Abim,Northern,1983-08-31,-0.2865261
Abim,Northern,1983-09-30,-0.2451319
Abim,Northern,1983-10-31,-0.040092114
Abim,Northern,1983-11-30,-0.32206652
Abim,Northern,1983-12-31,-0.3994098
Abim,Northern,1984-01-31,-0.4752065
Abim,Northern,1984-02-29,-0.18305366
Abim,Northern,1984-03-31,-0.15098964
Abim,Northern,1984-04-30,0.6042911
Abim,Northern,1984-05-31,0.6136643
Abim,Northern,1984-06-30,0.3167723
Abim,Northern,1984-07-31,0.09980141
Abim,Northern,1984-08-31,0.053077836
Abim,Northern,1984-09-30,-0.22005582
Abim,Northern,1984-10-31,-0.15042903
Abim,Northern,1984-11-30,-0.4258124
Abim,Northern,1984-12-31,-0.8110161
Abim,Northern,1985-01-31,-0.77125007
Abim,Northern,1985-02-28,0.20187502
Abim,Northern,1985-03-31,-0.13555077
Abim,Northern,1985-04-30,0.39689168
Abim,Northern,1985-05-31,0.37005606
Abim,Northern,1985-06-30,0.12796204
Abim,Northern,1985-07-31,-0.13985379
Abim,Northern,1985-08-31,-0.03216163
Abim,Northern,1985-09-30,0.110808074
Abim,Northern,1985-10-31,-0.18802494
Abim,Northern,1985-11-30,-0.33598647
Abim,Northern,1985-12-31,-0.59738606
Abim,Northern,1986-01-31,-0.33919796
Abim,Northern,1986-02-28,0.10205626
Abim,Northern,1986-03-31,0.13745879
Abim,Northern,1986-04-30,0.6156912
Abim,Northern,1986-05-31,0.7016451
Abim,Northern,1986-06-30,0.080554694
Abim,Northern,1986-07-31,-0.12062749
Abim,Northern,1986-08-31,-0.2434025
Abim,Northern,1986-09-30,-0.19511463
Abim,Northern,1986-10-31,-0.18392242
Abim,Northern,1986-11-30,-0.4383228
Abim,Northern,1986-12-31,-0.9406013
Abim,Northern,1987-01-31,-0.36688244
Abim,Northern,1987-02-28,0.061007217
Abim,Northern,1987-03-31,0.40601945
Abim,Northern,1987-04-30,0.20530252
Abim,Northern,1987-05-31,0.52921885
Abim,Northern,1987-06-30,0.19805986
Abim,Northern,1987-07-31,0.120802365
Abim,Northern,1987-08-31,0.046127994
Abim,Northern,1987-09-30,0.006161302
Abim,Northern,1987-10-31,0.02947992
Abim,Northern,1987-11-30,-0.040371627
Abim,Northern,1987-12-31,-0.5402506
Abim,Northern,1988-01-31,-0.25206432
Abim,Northern,1988-02-29,-0.24267732
Abim,Northern,1988-03-31,0.56564045
Abim,Northern,1988-04-30,0.52487683
Abim,Northern,1988-05-31,0.48556104
Abim,Northern,1988-06-30,0.12689333
Abim,Northern,1988-07-31,-0.21021003
Abim,Northern,1988-08-31,-0.1792333
Abim,Northern,1988-09-30,-0.20056279
Abim,Northern,1988-10-31,-0.35036388
Abim,Northern,1988-11-30,-0.4066547
Abim,Northern,1988-12-31,-0.96271724
Abim,Northern,1989-01-31,-0.8253594
Abim,Northern,1989-02-28,-0.72044975
Abim,Northern,1989-03-31,0.29296497
Abim,Northern,1989-04-30,0.15260784
Abim,Northern,1989-05-31,0.6033313
Abim,Northern,1989-06-30,0.5108405
Abim,Northern,1989-07-31,-0.1384585
Abim,Northern,1989-08-31,-0.07029208
Abim,Northern,1989-09-30,-0.18813436
Abim,Northern,1989-10-31,-0.2279865
Abim,Northern,1989-11-30,-0.5346226
Abim,Northern,1989-12-31,-0.3620892
Abim,Northern,1990-01-31,-0.85139257
Abim,Northern,1990-02-28,0.14962928
Abim,Northern,1990-03-31,0.00084439915
Abim,Northern,1990-04-30,0.70934373
Abim,Northern,1990-05-31,0.38941225
Abim,Northern,1990-06-30,0.21252394
Abim,Northern,1990-07-31,-0.14591955
Abim,Northern,1990-08-31,-0.16693479
Abim,Northern,1990-09-30,0.008225301
Abim,Northern,1990-10-31,-0.15395194
Abim,Northern,1990-11-30,-0.33406186
Abim,Northern,1990-12-31,-0.43028355
