district,region,date,predicted_rainfall_mm
Abim,Northern,2025-11,62.380426639779756
Abim,Northern,2025-12,18.433460183470114
Abim,Northern,2026-01,9.23669068457346
Abim,Northern,2026-02,27.25183329826414
Abim,Northern,2026-03,62.00163250264719
Abim,Northern,2026-04,149.0938425353717
Abim,Northern,2026-05,166.9429998341561
Abim,Northern,2026-06,119.05839046742376
Abim,Northern,2026-07,148.4765012041119
Abim,Northern,2026-08,154.14111290300104
Abim,Northern,2026-09,98.67288314949674
Abim,Northern,2026-10,110.97350289304813
Abim,Northern,2026-11,59.74399640907433
Abim,Northern,2026-12,23.658164608731628
Adjumani,Northern,2025-11,118.26322536640481
Adjumani,Northern,2025-12,38.866431817995846
Adjumani,Northern,2026-01,16.580040923620462
Adjumani,Northern,2026-02,29.064826061135587
Adjumani,Northern,2026-03,62.98235826553396
Adjumani,Northern,2026-04,129.66594782621095
Adjumani,Northern,2026-05,150.6917269583506
Adjumani,Northern,2026-06,135.14061336494962
Adjumani,Northern,2026-07,145.9854038724528
Adjumani,Northern,2026-08,183.7493832435743
Adjumani,Northern,2026-09,147.48696483125966
Adjumani,Northern,2026-10,156.70697542746717
Adjumani,Northern,2026-11,99.13779095560369
Adjumani,Northern,2026-12,40.98464189869807
Agago,Northern,2025-11,72.95937735359198
Agago,Northern,2025-12,17.86777580596327
Agago,Northern,2026-01,9.643478113456146
Agago,Northern,2026-02,26.901358164747318
Agago,Northern,2026-03,68.65717484924872
Agago,Northern,2026-04,154.85941750225732
Agago,Northern,2026-05,193.74205068168104
Agago,Northern,2026-06,140.95995672771946
Agago,Northern,2026-07,153.83232731700585
Agago,Northern,2026-08,175.55718329766736
Agago,Northern,2026-09,118.85986124808137
Agago,Northern,2026-10,131.77361025961784
Agago,Northern,2026-11,70.64325802243066
Agago,Northern,2026-12,25.682696494005015
Alebtong,Northern,2025-11,97.77058104849398
Alebtong,Northern,2025-12,19.53981384626654
Alebtong,Northern,2026-01,31.5791426113116
Alebtong,Northern,2026-02,62.76301779132655
Alebtong,Northern,2026-03,87.10050106078909
Alebtong,Northern,2026-04,154.30441237242292
Alebtong,Northern,2026-05,210.565754954654
Alebtong,Northern,2026-06,137.09249300012593
Alebtong,Northern,2026-07,164.24963415446314
Alebtong,Northern,2026-08,198.7168420367935
Alebtong,Northern,2026-09,145.44820156980165
Alebtong,Northern,2026-10,147.53792148807258
Alebtong,Northern,2026-11,82.2116447682198
Alebtong,Northern,2026-12,27.872801565704226
Amolatar,Northern,2025-11,107.36987001882045
Amolatar,Northern,2025-12,86.96406761231928
Amolatar,Northern,2026-01,47.62704111313298
Amolatar,Northern,2026-02,113.6447588458501
Amolatar,Northern,2026-03,133.91974676357745
Amolatar,Northern,2026-04,185.12645996585564
Amolatar,Northern,2026-05,201.01539215501157
Amolatar,Northern,2026-06,106.09258684883402
Amolatar,Northern,2026-07,104.83376224405889
Amolatar,Northern,2026-08,163.42405554056876
Amolatar,Northern,2026-09,167.81518324086176
Amolatar,Northern,2026-10,158.89608318941393
Amolatar,Northern,2026-11,113.10556214172715
Amolatar,Northern,2026-12,83.65555835418951
Amudat,Northern,2025-11,58.75755551011653
Amudat,Northern,2025-12,20.8503737488445
